Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
인삼닭살찜, 145.4, 14.1, 1.3, 19.4, 253.4
양배추버섯말이, 110.1, 0, 1.5, 24.1, 242.1
단호박떡갈비, 274.1, 20.1, 6, 34.9, 196
배추만두탕, 51.1, 5.3, 0.9, 5.5, 160.9
해산물누들볶음, 488.6, 17.1, 25.4, 47.9, 274.5
허브닭스테이크, 200, 31.2, 2.5, 13.2, 275
새우완자찜, 121, 20.4, 1.3, 7, 175.8
두부된장무침, 217.7, 15.5, 10.9, 14.4, 587.3
귀리죽, 317.9, 11.9, 7, 51.9, 53.4
탕평채, 174.3, 1.4, 0.6, 40.8, 607.3
겨자소스를 곁들인 새우롤과 전복샐러드, 379.2, 45.9, 21.1, 1.5, 330.4
속채운대저토마토백김치, 76, 3.5, 0.2, 15.1, 278.5
둥지튀김, 415.3, 25.6, 20.6, 31.9, 92.9
들깨죽, 338.7, 11.7, 19.6, 28.9, 10.9
레몬크림콩다식, 527.1, 18.4, 13.3, 83.5, 206.4
룰룰랄라, 242.5, 12.9, 6, 34.2, 55.5
매실소스를 곁들인 돼지고기만두, 183.4, 15.1, 4.3, 21, 235.5
머스터드튤립치킨, 342.4, 21.5, 26.2, 5.1, 290
머위향 통밀푸실리, 275.9, 9.7, 0.6, 58, 202.1
미니함박스테이크, 210.3, 25.5, 4.7, 16.6, 149.4
바다완자탕, 146.9, 10.5, 1.5, 23, 119.2
봄옷을 입은 닭, 656.4, 23.3, 17.7, 100.9, 224.2
삼계치킨, 359.7, 25.8, 19.8, 19.5, 168.7
삼계치킨롤, 281.2, 28.4, 9, 21.6, 151.4
새우완자탕, 13.4, 12.2, 1.3, 13.2, 141.6
아삭, 96.5, 2.3, 0.5, 20.7, 1016.3
연어비트 절임샐러드, 327.9, 29.6, 22.6, 1.6, 152.6
가지나물냉국, 28.7, 1.5, 0.7, 4.9, 540
수삼매운닭찜, 320.6, 21.8, 11.2, 37, 684.5
수박즙돼지목심구이, 229, 197.5, 16.1, 6.8, 199.8
별미병어조림, 174, 11, 8.9, 12.9, 706.9
비름나물겉절이, 29.4, 3.6, 1, 2.5, 381.3
깻잎단호박튀김, 124.7, 2.1, 7.5, 13.4, 2.2
냉머위들깨나물, 73.1, 3.8, 4.7, 4.9, 395.8
수박껍질풋고추볶음, 41.2, 0.6, 4, 1.2, 339.1
우무오미자냉화채, 71.3, 1.65, 0.88, 14.4, 17
포도호두스무디, 159.8, 4.5, 5.8, 24.1, 26.5
전복영양밥과 부추양념장, 387.2, 12.8, 1.9, 77.5, 459.9
근대쌈밥과 멸치견과류쌈장, 407.3, 11.7, 6.1, 76.1, 456.8
장어조림, 190.1, 14.1, 505, 21, 1236.7
통삼겹스테이크, 472.2, 19.9, 35.3, 18.8, 193.7
저염된장 삼치구이, 196.3, 18.9, 10.8, 5.8, 168.8
미역전복죽, 247.9, 4.9, 3.9, 48.3, 140.9
불고기미니볼, 346, 15, 17.2, 32.9, 120.8
치자연근물김치, 80.9, 1.6, 0.6, 17.3, 106
훈제연어롤, 322.1, 47.9, 9.3, 11.8, 696.1
크림닭, 435.5, 52, 18.6, 15, 632.5
등심채소롤, 531.8, 26.5, 23.9, 52.5, 522.4
유부완자탕, 297.5, 24.8, 17.6, 10.1, 325.3
미니밥버거, 530.9, 18, 15.4, 80, 125.1
파프리카볶음밥, 309, 23.1, 9.9, 31.9, 245.3
리코타치즈돈가스, 476.4, 26.2, 26.7, 32.8, 328.5
삼겹살부추찜, 656.6, 32.8, 51, 16.6, 718.8
전복죽, 225.9, 17.6, 1.3, 36, 109.9
오징어토마토초무침, 155.7, 7.4, 1.7, 27.7, 410.1
들깨칼국수, 255.6, 7.7, 8.3, 37.4, 76.5
소고기채소불고기, 381.7, 34.1, 23.4, 8.7, 196.8
숙주라면, 342.8, 12.8, 9.7, 51, 218.4
곤약냉면, 91.7, 1.5, 0.4, 20.5, 89.5
과일갈비찜, 669.2, 67.1, 31.3, 29.9, 903
토마토소스닭갈비, 338.6, 33.8, 14.4, 18.5, 356.9
골뱅이과일무침, 225.3, 10.6, 1.4, 42.5, 412.1
두유 마 떡갈비, 429, 47.4, 20.1, 14.7, 313.2
떡갈비와 미니잡곡밥, 357.4, 32.7, 12.2, 29.3, 408.9
리코타소스 연어샐러드, 280.7, 19.3, 17.5, 11.3, 120.7
망고무스케이크와 마카롱, 487.3, 7.7, 25.5, 56.7, 133.2
망고자몽드레싱 해산물전체, 163.5, 26.2, 1.1, 12.2, 233.6
머쉬룸 닭스테이크, 196.8, 24.2, 5.5, 12.5, 152.5
미역소스와 타르타르, 202.3, 13.1, 9.5, 16.1, 306.6
발사믹소스를 곁들인 오리스테이크, 307.5, 13.1, 21.6, 15.2, 486.9
방울토마토를 곁들인 너비아니구이와 쌈밥, 407.1, 49.6, 12, 25.2, 349.6
배차와 주악, 246.8, 3.1, 0.9, 56.5, 122.3
배추관자카나페, 104.7, 9.9, 0.9, 14.1, 217.5
버섯과 두부 비프웰링턴, 451.6, 23.3, 11.2, 64.4, 95.6
복분자소스를 곁들인 닭테린, 274.2, 36.7, 10.4, 8.4, 306.8
관자버터구이, 202.3, 7.7, 9.3, 21.9, 379.5
세 가지 미니 에피타이저, 230.2, 20.7, 8, 18.7, 168.8
식혜양갱과 수박증편, 59.8, 0.3, 0, 14.6, 20.7
호박잎다슬기된장국, 86.7, 9.5, 5.9, 6.2, 577.2
양배추두부찜과 양파케첩소스, 165, 10.7, 7.2, 14.1, 478.8
수박비빔국수와 수박고추장소스, 468.7, 17.5, 6, 88.7, 298.9
미숫가루 부추전, 212.8, 11.8, 4.9, 33, 228.7
애호박장떡말이밥, 400, 9.3, 4.5, 82.8, 447.6
봄나물주먹밥, 295.8, 6, 3.9, 57.9, 240.3
달래두부김치무침, 59, 4.6, 2.9, 4.2, 300.9
딸기소스닭가슴살채소무침, 140.6, 14.9, 3.3, 12.3, 205.9
쑥호두달걀말이, 105.2, 6.8, 7.9, 1, 165
시래기리조또, 445.2, 9, 16.3, 64.3, 419.7
생과일과가자미까나페, 305.1, 9.8, 14.3, 34.2, 354.3
꽃게살국, 114, 14.2, 3.9, 5.3, 579.9
우엉들깨무침, 22.3, 0.8, 1.1, 2.4, 94.2
새우두부만두, 397.5, 27.1, 4.8, 66.3, 563.2
마마무스프, 72.9, 1.8, 3.6, 8.3, 91.4
단호박리조또, 272.4, 8, 5.3, 48.2, 129.1
토마토떡볶이, 351, 7.8, 2.7, 73.9, 503.7
소고기채소볶음, 503, 23.3, 34.3, 25.2, 169
양송이크림볶음밥, 346.1, 13.3, 7, 57.5, 197.1
해물우동볶음, 369.1, 17, 6.4, 60.9, 1259.7
단호박닭꼬치, 441.5, 18.9, 11.5, 65.7, 645.9
떡갈비콩나물밥, 357.2, 12.5, 2.4, 71.4, 358.1
크림치즈떡볶이, 333.2, 9.8, 6.7, 58.5, 171.3
목살스테이크, 545.1, 29, 37.3, 23.4, 391.6
치킨완자스프, 236.7, 17.6, 13.8, 10.5, 199.1
돼지고기말이튀김, 391.5, 13.6, 30.5, 15.7, 171.5
단호박피자, 349.2, 19.3, 19.9, 23.2, 372.1
L..A갈비구이, 310.8, 13.8, 24.2, 9.4, 301.7
닭고기파스타, 374.4, 29.3, 6.3, 50, 460.2
동글동글도넛, 290.9, 25.4, 13, 18, 58.9
된장크림소스 잡곡 오므라이스, 363.4, 21.5, 16, 33.4, 506.1
두릅부추 소고기말이, 321.7, 47.9, 10.9, 8, 347.3
두부 비빔호박쌈, 345.9, 11.1, 7.4, 58.8, 98.6
두부곤약파스타, 258.8, 10.1, 18.8, 12.3, 395.2
두유 라이크 파스타, 530, 20.3, 13.1, 82.6, 127.3
라따뚜이, 75.5, 2.3, 3.3, 9.3, 227.6
라이스페이퍼 야채롤, 229.2, 11.7, 4.3, 35.9, 270.3
브로컬리 단호박스프와 완두콩퓨레, 81.6, 4.1, 1.8, 12.4, 100.6
삼색샐러드와두부구이, 243.7, 16.9, 14.8, 10.7, 353.3
새송이등갈비, 382.3, 29, 14.6, 33.6, 1554.7
설렁탕쑥떡볶이, 350, 16.8, 10.1, 48, 296.4
소안심 야채 호박잎쌈, 173.5, 21.3, 7.1, 6, 150.8
양배추 고기말이, 162.9, 15.4, 5.5, 12.9, 113.1
양배추 쌈말이, 125.8, 14.1, 1, 15, 85.2
연어샐러드, 274.8, 33.6, 14.2, 3.2, 334.6
오렌지 드레싱 타다키 부추샐러드, 280.7, 27.7, 12.6, 14, 143.6
마감자전, 165.4, 3.4, 5.4, 25.2, 156.4
배추토란국, 77.7, 6, 3.1, 6.8, 564.9
갈치고추장구이, 132.8, 9.9, 8.1, 4.2, 298.7
단호박푸딩, 143.4, 6.9, 8.6, 10.5, 55
고등어된장구이, 193.8, 11.4, 14.8, 3.1, 613.6
낙지브로콜리볶음, 92, 10.2, 3.4, 5.7, 580.7
주꾸미돌나물무침, 69.6, 6.2, 1.4, 8.4, 350.1
사과소스폭찹, 184.2, 11, 12.8, 6.2, 233.5
건도토리묵버섯들깨국, 89.1, 4.1, 2.5, 12.3, 457
무대하무침, 71.2, 6.9, 2.9, 4.6, 153.1
간편조기찜, 124.8, 14.9, 5.7, 3, 405.7
표고버섯쇠고기찜, 78.7, 5.4, 4, 4.8, 318.4
참나물돼지고기샐러드, 213.3, 12.1, 14.1, 8.5, 246
연근배추홍시샐러드, 171.5, 3.3, 9.4, 20.2, 112.2
열무곤약국수, 62.2, 3.1, 0.4, 11.5, 477.8
장어구이, 186.1, 16, 4, 21.5, 460.7
안심스테이크, 238.6, 13.6, 13.1, 16.7, 118.7
로제파스타, 282.6, 10.4, 10.4, 37, 41.4
가지라따뚜이, 68.6, 2.6, 2.6, 8.2, 122.3
쪽갈비구이, 306.8, 23.3, 22.5, 2.7, 150.9
베이컨밀푀유, 155.6, 10.5, 10.1, 5.6, 610.2
실곤약냉파스타, 117.8, 4.2, 8.4, 6.4, 80.3
명란프리타타, 187.1, 17, 11.6, 3.6, 329.5
양송이구이, 162.2, 14.5, 8.6, 6.6, 115.9
함초김치, 49.1, 0.7, 0.2, 11.2, 176.1
연어스테이크, 487.8, 23.3, 26.1, 31.1, 362.3
웰빙꼬치, 125.5, 11.8, 2, 15.1, 60.5
매운닭날개구이, 285, 17, 14.3, 22, 433.9
웰빙카레죽, 210.4, 5.1, 6.1, 33.7, 351
닭가슴살 두부선, 94.34, 14.4, 3.58, 1.13, 17.24
단호박 마전, 122.34, 2.53, 5.1, 16.58, 1.18
완두콩과 당근을 넣은 감자요거트 샐러드, 44.3, 2, 0.4, 8.3, 25.5
무오색쌈, 19.1, 1.7, 0.9, 1.1, 63.5
흑마늘견과류조림, 179.2, 6.3, 10.4, 15.1, 120.2
고구마 찰 빵, 241, 6.35, 6.27, 39.76, 4.16
브로콜리견과류복음, 131.3, 4.1, 10.2, 5.7, 5.3
유린기, 173.3, 11.3, 11, 7.3, 148.2
단호박 호밀빵, 271, 10.59, 1.86, 53.05, 1.83
미숫가루 스콘, 376, 9.53, 12.73, 55.8, 8.1
고구마 공갈빵, 277, 8.73, 1.92, 56.14, 4.46
검은콩 크림빵, 233, 10.98, 3.47, 37.02, 4.69
오이 소르베, 65.4, 3.7, 1.9, 8.3, 34.7
리코타치즈 카프레제, 222.7, 4.7, 18.6, 9, 13.9
연두부 카프레제, 309.3, 17.5, 21.1, 12.3, 279.4
연두부 토마토, 110.1, 8.3, 5.1, 7.6, 46.9
들깨삼겹살과 참외쌈장, 491.8, 16.4, 43.2, 9.4, 893.9
돼지고기 포두부 파스타, 459.4, 35.6, 30.8, 9.9, 211.8
단호박 양파잼 샌드위치, 287, 10.5, 8.6, 41.8, 489.2
시금치크림치즈 빵, 303, 9.2, 13.54, 36.07, 2.28
무말랭이김치, 10.86, 0.14, 0, 2.56, 1.85
코울슬로샐러드, 44.1, 0.6, 2.8, 4.2, 26.8
마들깨미역국, 161.9, 6.8, 9.2, 13.1, 173.6
바지락맑은국, 9.9, 1.5, 0.1, 0.8, 82.7
통배추 겉절이, 22, 1, 0.8, 2.6, 110.2
포니언 스프, 187.8, 5, 7.9, 24.1, 109.1
가지 탕수육, 297.2, 7.5, 17.6, 27.2, 596.3
토마토소스 애호박냉파스타, 121.7, 2.7, 8.1, 9.4, 425.3
새우채소 김치롤, 121.1, 14.2, 4.7, 5.5, 526.4
떡순이 두부쌈, 517, 32.5, 22, 47.4, 566
두부샐러드 메밀김밥, 423.9, 30.4, 20.1, 30.2, 561.9
토마토채소스프와 연어소바찜, 260, 16.3, 5.1, 37.2, 250.5
참나물무말이 물김치, 34.4, 0.8, 0.2, 7.5, 209
소고기 무국, 46.5, 6.49, 0.77, 3.42, 226.87
매운락교무침, 46.9, 0.9, 1.1, 8.4, 500.6
채소초밥, 393.26, 7.59, 1.37, 87.64, 144.48
꽃게바지락찌개, 23.2, 1.4, 1.3, 0.2, 113.5
새뱅이찌개, 74.9, 3.8, 0.1, 14.7, 561
황태미역국, 46, 3.5, 0.6, 6.6, 170.4
매실입은가지닭볶음탕, 211.4, 26.2, 7.7, 9.2, 241.6
홍시잼 식빵, 239, 6.41, 4.25, 43.76, 12.37
콩가루 소보로, 279, 9.08, 8.35, 41.91, 13.53
곤약 가스, 449.8, 15, 26, 39, 385.3
두부크림 관자뇨키, 267.6, 26.5, 12.2, 12.9, 478.9
토마토 해물누룽지탕, 238.9, 16.3, 6.6, 28.6, 585.2
삼색나물, 토마토양념장, 35.96, 1.71, 0.7, 5.71, 103.32
삼색 브레드 스틱, 315, 10.61, 7.55, 51.04, 1.61
양배추말이 김치, 33.2, 1.7, 0.2, 6.1, 200.2
단호박 양고기볶음, 244.3, 23.1, 7.2, 21.8, 157.8
채소 프리타타, 467.2, 33.3, 30.6, 14.8, 478.6
고등어 라따뚜이 파스타, 420.7, 24.3, 29.9, 13.8, 551.5
과카몰리 갈치구이, 73.8, 6.8, 4.1, 25, 54.3
배추겉절이, 2, 0.6, 0.1, 2, 85
홍시에이드, 42.14, 0.18, 0.02, 10.3, 2.06
낙지묵은지콩나물국, 71.7, 6.3, 1, 9.4, 280.5
자색고구마 버터크림 빵, 929, 6.42, 14.21, 34.64, 7.54
치아바타 피자빵, 237, 12.79, 7.65, 29.14, 1.7
코코넛워터 토마토카레, 583.9, 25.2, 14.3, 88.6, 601.2
치즈 단호박, 379.3, 19, 11.9, 49, 248.5
강황 투움바 파스타, 392.5, 11.7, 11.6, 60.4, 221.7
깻잎 쌈두부 라자냐, 601.9, 37.8, 39.3, 24.3, 450.2
참깨가지말이밥, 575.9, 12.9, 17.3, 92.2, 55.6
코다리 뿌리채소 들깨탕, 93.33, 14.75, 2.2, 3.64, 155.11
찹쌀 흰살 생선찜, 206.1, 16.4, 6.8, 20, 284.6
깻잎퓌레를 곁들인 삼치새우, 575.2, 27.3, 33.8, 40.5, 655.6
참나물페스토 파스타, 462.2, 11.8, 21.9, 54.5, 60.8
카레삼겹살 파니니, 655.5, 23.9, 26.6, 80.1, 738.3
어린잎채소 건두부말이, 233.8, 12.7, 17.1, 7.3, 156.7
해산물 완자볼을 곁들인 양장피 콩국수, 265.6, 10.2, 3.2, 49, 360
토마토를 곁들인 마늘밥, 427.8, 8.8, 5.5, 85.8, 3.6
낙전새 카레볶음밥, 568.5, 23.4, 10.2, 95.7, 451
토마토 채소 계란찜, 181.76, 11.68, 13.23, 4, 159.3
배 깍두기, 31.66, 0.72, 0.39, 6.33, 284.48
바지락가자미완탕국, 126.6, 15.5, 0.6, 14.8, 177.5
저염보쌈김치, 9.97, 0.3, 0.11, 1.96, 112.95
새우게살 파프리카롤, 108.3, 6.8, 5, 8.9, 366
콩국물소스를 곁들인 게살 냉채, 231.6, 16.3, 12, 14.5, 475.4
방아잎 닭고기말이, 501.9, 43.8, 34.2, 4.8, 344.1
새우 카레 빠에야, 366.9, 14.9, 7.2, 60.6, 370.6
오징어 가라아게&칠리소스, 595.1, 25.1, 41.5, 30.4, 307.7
토마토 채소 가지롤, 414.6, 9.6, 33.3, 19.2, 361.3
토마토시금치 닭볶음탕, 90.1, 8.2, 2.7, 8.2, 76.1
콜라비 깍두기, 14, 0.6, 0.2, 2.6, 40.5
비타 오이 물김치, 13.46, 0.34, 0.02, 2.99, 30.88
감자미역국, 35.4, 1.1, 2.3, 2.5, 174.6
청경채 김치, 53.7, 1.9, 0.7, 9.9, 382.6
두부 새우볼, 187.1, 15.3, 10.3, 8.4, 288.1
소고기육전과 전복내장소스, 341.6, 16.6, 25.3, 11.8, 191.6
라이스페이퍼 수제소시지, 542.8, 38.6, 26.1, 38.3, 451.7
치즈토마토 가지구이, 263.6, 14.8, 18.5, 9.4, 200.7
묵은지 밀푀유나베, 115.5, 12.1, 5.2, 5.2, 356.5
생선까스&타르타르소스, 277.3, 14.5, 20.8, 8, 201.2
미옹 카레, 298.6, 6.8, 16.6, 30.7, 579.7
곤약 감자조림, 37.8, 0.64, 0.01, 8.78, 305
배추된장국, 44.9, 4.2, 1.3, 4, 52.1
한우굴라쉬, 86.7, 4.4, 3.4, 9.6, 178.5
요거트강화순무김치, 15.87, 0.9, 0.14, 2.75, 29.8
크림카레소스를 곁들인 함초두부스테이크, 289.9, 28.7, 13.5, 13.4, 349.6
레몬등갈비구이, 281.4, 24.4, 19.5, 2, 74.3
밀푀유 채소 웰링턴, 216.4, 14.6, 14.2, 7.2, 647.7
참나물 매콤함박스테이크, 99.6, 13.2, 3.5, 3.9, 135.5
과일 먹은 닭탕수, 104.12, 5.07, 4.28, 11.33, 25.88
콜리플라워미역국, 20.9, 1.3, 1.5, 0.6, 113.1
구기자모듬장조림, 59.2, 4.3, 2.3, 5.3, 215.6
오미자저염나박김치, 43.05, 0.42, 0.24, 9.8, 7.24
메밀면 샐러드, 201.5, 9.4, 6.2, 26.9, 308.8
치즈 두부 튀김, 355.4, 19.4, 19.9, 24.7, 172.9
단호박 라타투이, 235.4, 21.7, 12.5, 9.1, 682.6
느타리버섯볶음, 51.5, 2.4, 3, 3.8, 158.2
오리들깨 겨자소스 초무침, 179.7, 17.8, 10.7, 3.1, 45.2
닭고기 바비큐, 174.7, 13.1, 8.5, 11.9, 73
닭고기 편육, 262, 19.4, 15.5, 8.3, 238
돼지고기 찹쌀부침, 343.7, 13.4, 10, 48.3, 120
등심 배구이, 97.2, 7.9, 5.1, 3.8, 241
버섯소스를 곁들인 돼지 등심 스테이크, 387.7, 20.4, 26.1, 8, 80
쇠고기 감자찜, 183.6, 12.9, 7.3, 16.5, 200
양송이버섯과 포도주스를 가미한 등심구이, 182.5, 11.3, 10.3, 15.3, 163
비타 오이 물김치, 13.46, 0.34, 0.02, 2.99, 30.88
새우살토마토스튜, 67.1, 5.5, 2.3, 6.1, 280.4
견과류문어떡갈비, 329, 27.1, 13.6, 24.5, 156
배물김치, 27.93, 0.41, 0.07, 6.42, 3.37
성주참외동치미, 37.47, 0.9, 0.16, 8.1, 80.06
애호박 순대, 165.4, 6.7, 1.7, 30.9, 129.2
버터치킨카레, 493.1, 34.3, 29.6, 22.4, 204.5
소고기찜과 검은콩수제비, 264.2, 30.8, 8.5, 16.1, 437.1
소고기 김말이, 255.8, 16.4, 15.9, 11.8, 135.2
케이준 스타일 닭고기 요리, 303, 19.8, 22, 4.2, 62
헝가리안 폭찹, 314.1, 18.6, 20.6, 3.5, 110
구운 닭고기 샐러드와 저나트륨 과일 드레싱, 246.5, 13.1, 14.5, 17.3, 175
돼지고기 수육 부추부침, 202.4, 9.4, 13.2, 10.3, 257
쇠고기 채소볶음, 191, 9.4, 14.8, 4.7, 219
낙지볶음면, 154.6, 9.8, 0.9, 27.6, 270
지중해 소스를 곁들인 도미스테이크, 290, 23, 13.8, 7, 81
해산물 샤브샤브, 125, 12, 6.1, 5.8, 144
고등어구이, 279.9, 14.7, 20.3, 6.3, 105
골뱅이무침, 104, 5.1, 2.4, 17.5, 202
굴 두부 국, 49.5, 4.8, 2.8, 3.5, 257
과일퓨레수제함박스테이크, 166, 11.7, 6.6, 14.9, 377.5
달콤과일깍두기, 19.9, 0.7, 0.2, 3.8, 19.8
비트 단호박 파스타, 340.5, 6.9, 16.8, 40.5, 136.4
해조비빔국수, 106.2, 2.7, 1.2, 21.2, 357.6
닭봉 로제스튜, 379, 28, 23.3, 14.3, 340.6
수제새우소시지, 266.5, 10.1, 6.6, 41.7, 317
감태샐러드말이와 버섯말이깐풍, 125.2, 2, 2.8, 22.9, 120.1
금태찜, 73.8, 10.8, 0.6, 7.6, 305
김자반, 45.2, 4.8, 0.9, 10.4, 232
꽁치 양념구이, 234.4, 12.7, 7.2, 28.9, 169
꽃게강정, 261, 17.6, 11.1, 21.9, 470
낙지강회, 51.9, 6.8, 0.4, 7.1, 153
낙지 잣소스 냉채, 226.7, 10, 14.3, 18.5, 233
두부 해산물 꼬치구이, 182.6, 15.6, 12.8, 2.6, 146
마 두부 오징어전, 173.3, 10.6, 8.8, 16.8, 159
멸치 찹쌀양념 튀김, 212.9, 8.8, 13.1, 17.6, 181
미역 물오징어 연두부 초회, 48.3, 7, 1.2, 3.9, 171
부추조개살 콩비지조림, 36, 3.3, 0.5, 5.3, 62
연어냉채, 129, 9.4, 6.7, 7.4, 398
오징어말이 케첩조림, 152.2, 20, 4.3, 8.8, 190
오징어보쌈과 저나트륨 된장소스, 46.2, 8.1, 0.7, 1.8, 192
칠리새우, 192.6, 10.7, 8.9, 16.3, 159
연근샐러드, 흑임자소스, 28.76, 0.69, 1.19, 3.82, 4.9
단호박함박스테이크, 323.8, 17.5, 12, 36.5, 311.5
배깍두기, 65.06, 0.96, 0.42, 13.74, 6.56
닭고기 찰깨빵, 500.6, 16.7, 12.6, 80.1, 852.1
레몬연어 파피요트, 431.7, 33.3, 29.5, 8.3, 121.1
떡꼬치구이, 160.9, 3.1, 1, 34.9, 214
부추 배무침, 32.1, 1.5, 0.4, 5.6, 305.1
아보카도 두부 샐러드, 246.2, 11.6, 38.7, 8.5, 362
과일 젤리, 143.4, 1.1, 0.1, 32.8, 25.3
복숭아샤벳, 92.8, 1.6, 0.3, 24.3, 7
과일 주스 조림, 182, 1.5, 0.5, 39.4, 7
감자를 곁들인 야채스튜, 87, 3.4, 2.4, 14.8, 30
김치 고구마밥, 247.9, 3.9, 2.4, 54, 233
돈불고기 파인애플볶음, 113.18, 9.03, 6.05, 5.65, 187.59
비름나물 된장무침, 60.3, 3.4, 3.2, 4.5, 130.4
소고기 들깨 알토란탕, 146.42, 7.57, 5.17, 17.4, 675.68
과일삼겹살조림&파채무침, 205.5, 16.3, 8.5, 15.9, 186.9
곤약백김치말이, 46.99, 6.28, 1.01, 3.2, 171.08
꽈리고추 닭강정, 566.2, 35.8, 32.4, 32.8, 744
참치두부 주먹밥, 299.7, 24.7, 13.1, 20.9, 248.3
열무톳김치, 13.7, 1, 0.1, 2.2, 379.3
대구 크림스튜, 186, 28.1, 5.5, 4.4, 406
대추죽, 132, 3, 0.8, 29.4, 2
돼지고기 토마토 두부볶음, 157, 10.1, 9.8, 8, 294
멜론스프, 86, 1.9, 0.2, 21.9, 22
미니버거, 123, 10.2, 5.5, 8.4, 226
바질 고구마 옥수수빵(플렌타), 161, 7.8, 4.6, 23.3, 229
밥스틱, 219.2, 6.1, 7.6, 32.8, 227
버섯 리조또, 325, 807, 4.9, 59, 125
버섯 참치 무른밥, 145, 5.4, 3, 23.3, 1
송이 미역국, 136, 4.3, 2.4, 25.7, 309
시금치 배 미음, 137, 3.5, 0.4, 30.1, 12
어린이 스시, 135, 6.7, 6.4, 11.3, 200
에멘탈 치즈 퐁듀, 109, 6.9, 5, 10.1, 106
두부구이, 버섯소스, 91.12, 7.02, 5.74, 2.85, 1.97
고구마 김치, 95.86, 0.91, 0.27, 22.44, 1.44
담양식떡갈비&야채쌈, 200.4, 23.9, 8.9, 3.9, 197.1
단감피클, 148.51, 0.25, 0.19, 36.44, 5.24
들깨 삼계면, 448.5, 27.4, 6.6, 69.9, 214.4
골뱅이무침과 삼겹살수육, 504.8, 30.4, 37, 12.6, 709.8
완두콩 스프, 169, 12.4, 4.7, 20.8, 117
유부 만두찜, 114, 9.31, 6.1, 8.7, 163
펜네 파스타 샐러드, 213, 7.3, 4.7, 34.2, 72
해산물 옥수수 오븐구이, 112, 9, 4.7, 8.5, 211
향향 볶음밥, 104, 5.6, 1.3, 18.9, 10
흑임자 두부국, 164, 7.1, 4.8, 23.6, 2
과일 요구르트 샐러드, 77, 2.6, 0.2, 18.2, 20
단호박 스프, 102, 3.1, 3.8, 16, 46
새우 완자탕, 87, 9.9, 1.1, 9.3, 205
생강향의 고구마 크로켓, 205, 2.2, 10.9, 25.2, 49
알파벳 스프, 109, 4.6, 2.1, 17.4, 36
야채 과일 돌구이, 71, 1.2, 0.2, 18.2, 5
야채볶음, 91, 2.4, 3.1, 15.4, 10
야채빵, 194, 6, 3.2, 33.7, 188
영양 달걀찜, 76, 5.8, 3, 7.1, 87
유부 달걀찜, 87, 6.1, 5.4, 3.9, 209
찰 어묵찜, 103, 9.4, 2.2, 11, 397
유부 우엉 잡채, 40.71, 1.13, 2.68, 3.02, 128.73
치즈두부샐러드, 104.06, 6.2, 5.31, 7.87, 101.08
된장숙성저수분수육, 342.6, 33.1, 15.7, 17.2, 178
스마일오이피클, 52.15, 1.01, 0.54, 10.83, 9.69
참나물 소보로덮밥, 293.9, 9.3, 5.6, 51.5, 583.6
버섯초계탕, 277.3, 24.6, 5.9, 31.4, 178.9
사과채소타코, 277.9, 6.7, 9.5, 41.5, 845.7
케첩 완자, 142, 10.8, 4.9, 13.8, 156
홍시 생밤 무침, 118, 2.1, 3.7, 22.3, 6
고구마 경단, 209, 2.7, 3.5, 44, 51
두부 깻잎 과자, 150, 7.1, 4.9, 20.6, 190
두부양갱, 67, 2.8, 1.7, 11.9, 2.5
멸치 누룽지과자, 191, 11.6, 4, 29.4, 177
복숭아 화채, 73, 1.3, 1.2, 16.7, 2
사과 포도주스 조림, 135, 1.8, 4.2, 25.1, 25
홍시 쉐이크, 70, 1.1, 0.6, 18.3, 5
김치떡, 302, 13.7, 3.4, 53.4, 293
누룽지 피자, 280, 10.9, 2.6, 57.4, 350
단호박 새우찜, 202, 11.1, 3.5, 38.6, 395
두부 샌드위치, 190, 8.3, 9.6, 22.3, 8
라이스페이퍼 새우롤, 141.6, 7.2, 2.4, 22.9, 86
레몬, 파슬리 빵가루를 입힌 도미, 88, 10, 1.7, 8.4, 62
롤피자, 374, 13.9, 5, 63.8, 524
닭곰탕, 46.5, 7.6, 0.7, 2.5, 63.5
미나리버섯고기말이&산채소스, 287.6, 31.6, 14.1, 8.7, 83.6
오이파프리카새콤무침, 11.45, 0.18, 0.04, 2.59, 1.05
양상추샐러드 & 과일드레싱, 57.4, 1.9, 1.1, 9.9, 33.8
시금치들깨무침, 159.24, 10.05, 7.88, 12.03, 32.68
채소롤초밥, 384.1, 7.5, 5.1, 77.2, 267.4
미니 떡갈비, 145, 15, 3.9, 13.5, 308
배추 달걀볶음, 1311, 8.3, 7.5, 7.3, 188
사과와 양파를 곁들인 돼지등심 요리, 294, 17.9, 21, 6, 36
새우 속을 채운 리치와 감자튀김, 258, 14.7, 11.5, 24.5, 196
생선살 완자 찹쌀 찜, 213, 20.1, 0.7, 30, 263
서양식 씨리얼(뮤즐리), 159, 5.2, 4.8, 25.8, 27
수퍼 브리또, 253, 9.4, 6.4, 40.5, 110
아보카도 달걀 샌드위치, 153, 5.9, 4.9, 20.3, 272
알록달록 시금치 당근 수제비, 236, 9.7, 2.1, 42.3, 484
인도식만두구이(사모사), 156, 7.8, 4.8, 19.9, 213
중국식 바비큐 폭립, 311, 22.8, 18, 13.5, 352
제주도 빙떡, 귤간장소스, 94.02, 1.33, 0.97, 20, 9.56
