Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
아몬드치킨볼, 210.7, 15.02, 6.13, 4.95, 55.5
양배추롤, 227.8, 12.01, 6.75, 18.36, 127.6
생선베이컨말이, 105.6, 18.71, 10.56, 1.53, 146.5
콩고기샐러드, 333.2, 13.13, 6.88, 19.26, 426.2
퀴노아닭가슴살샐러드, 173.5, 9.14, 2.55, 7.25, 33.8
바나나크림파스타, 684, 5.99, 12.89, 21.25, 327.8
산채쌀파스타, 176.7, 3.47, 1.15, 23.01, 297.3
황태포당면국수, 338.5, 0.95, 0.27, 17.26, 72.4
닭갈비볶음면, 543.4, 4.04, 3.39, 18.32, 228.8
오색볶음면, 466.8, 5.26, 7.71, 25.03, 952.4
로제소스라면, 913.4, 4.73, 8.57, 15.78, 698.8
라면월남쌈튀김, 422.1, 5.98, 15.17, 25.83, 445.1
삼겹살라면, 525.2, 3.25, 2.97, 14.66, 332.7
유자샐러드라면, 307.9, 3.14, 4.86, 26.6, 145
주꾸미머리순대, 60, 11.8, 1.1, 0.8, 122
매실동치미, 76.8, 0.7, 0, 18.4, 79.2
조기까스, 135.8, 15.4, 6.3, 4.3, 240.4
돼지머리수육맑은전골, 233.4, 103.8, 10.6, 20.7, 552.7
파인애플볶음밥, 285.3, 12.3, 10, 36.6, 280.1
연근초무침, 119.1, 1.6, 3.5, 20.4, 81.4
코다리맑은찜, 96.7, 19.1, 1.8, 1.1, 431
뿌리채소두부선, 184.5, 9.4, 7.6, 19.7, 135
사과장아찌, 291.2, 1.9, 2.7, 64.9, 736.7
해물들깨탕, 148.7, 21.1, 3.9, 7.4, 295.8
참외깍두기, 64.1, 1.5, 0.3, 13.9, 464.1
새콤한연어샐러드, 118.3, 8.6, 6.9, 5.4, 48.1
논우렁순무섞박지, 103, 6.5, 0.3, 18.6, 616.5
코다리맑은탕, 162.3, 24.2, 3.9, 7.7, 110.8
세가지샐러드, 202.4, 16.1, 9.8, 12.6, 209.2
애호박들깨볶음, 184.6, 10.4, 8.7, 16.2, 202
고구마바나나샐러드, 348.8, 4.8, 7.8, 64.8, 111.4
누룽지새우튀김, 558, 23.5, 23.3, 63.5, 156.7
백김치주꾸미샐러드, 125.5, 22.2, 2.3, 3.9, 656.6
닭고기월남쌈, 353.7, 28.5, 8.8, 40.1, 197
양배추롤, 164.8, 17.5, 3.9, 14.8, 111.5
단호박소고기롤, 444.9, 10.2, 15.2, 66.9, 248.3
생선카레튀김, 555, 22.4, 45.5, 14, 260.2
삼겹가지볶음, 542.4, 19.5, 44.5, 15.9, 398.8
주꾸미샐러드, 129.8, 12.1, 1.7, 16.5, 244.8
닭가슴살현미스테이크, 400, 34.8, 14.2, 33.2, 194.3
삼겹선, 623.9, 24.2, 47.1, 25.9, 182.7
미니버섯탕수, 269, 6.9, 15.3, 32.6, 242.7
연어오븐구이, 285.9, 28.7, 15.4, 8.1, 222.1
옥음밥, 381.2, 5.9, 6, 75.9, 341.2
와사비 연어초밥, 417.6, 18.8, 6.9, 70, 76
원소병, 320.6, 6.1, 0.5, 73, 47.2
음메꼬꼬돌돌, 296.7, 41.5, 14.5, 0, 275.8
전복리조또, 282.9, 7.1, 4.7, 53.1, 92.1
참깨흑임 자연두부샐러드, 309.2, 9.7, 23, 15.8, 159.9
초계탕, 103, 16.2, 1.1, 7.1, 90.1
콩나물부추볶음, 133.8, 3.9, 6.4, 15, 139.4
콩비지포카치아 샌드위치, 271.2, 12.9, 8, 36.8, 459.2
파프리카더덕소고기깻잎롤, 230.7, 28.8, 5.3, 16.9, 97.8
해물아란치니, 283.8, 7.4, 10, 41, 393.2
호박잎삼계, 314.1, 16, 3.9, 53.7, 55.9
노른자크림 육회샐러드, 177.4, 25.3, 4, 10, 245.6
닭고기 완자삼계죽, 150.4, 9.9, 0.7, 26.2, 51.9
대하마늘볶음밥, 286.6, 14, 11.2, 32.5, 191.4
두부 카프리제, 140.2, 11.1, 7.6, 6.8, 229.6
미역볶음밥, 515.2, 5.85, 5.43, 25.5, 488.5
청국장볶음밥, 467.9, 4.27, 4.9, 25.05, 234.1
해물볶음밥, 493.2, 7.28, 2.99, 26.9, 681.9
토마토카레 채소볶음밥, 612.1, 3.52, 4.46, 24.5, 435.2
구운주먹밥, 335.1, 5.79, 6.84, 35.43, 79.4
깐풍주먹밥, 536.3, 7.15, 7.44, 37.6, 111
닭봉주먹밥, 553.4, 7.12, 6.08, 20.5, 454.1
봄주먹밥, 252.4, 4.29, 2.12, 19.63, 118.1
깻잎장아찌롤, 375.2, 2.6, 3.4, 18.4, 750.7
참치비빔밥롤, 468.1, 8.57, 2.72, 19.83, 171.7
새싹참치김밥, 319.8, 5.78, 2.75, 25.9, 109.3
